year,month,temp_mean,temp_min_mean,temp_max_mean,precip_sum,snowfall_sum,wind_max_mean,cold_days_n25,cold_days_n35,dry_days,fire_wx_days,hdd
2022,6,16.28,10.1,22.45,62.7,0.21,18.397,0,0,19,13,76.5
2022,7,16.997,11.442,22.577,99.4,0.0,16.819,0,0,12,7,52.4
2022,8,14.452,9.094,19.91,97.8,0.0,15.452,0,0,12,6,121.5
2022,9,11.113,4.71,17.827,26.9,2.1,17.783,0,0,24,12,209.7
2022,10,-0.09,-4.358,5.197,12.2,8.05,15.213,0,0,25,0,560.8
2022,11,-9.877,-14.433,-4.907,9.6,6.79,12.403,3,0,27,0,836.3
2022,12,-18.91,-22.565,-14.823,8.6,6.02,11.526,8,0,27,0,1144.2
2023,1,-19.416,-25.061,-13.774,1.5,0.98,11.942,16,3,30,0,1159.9
2023,2,-13.332,-20.257,-6.146,0.0,0.0,12.582,2,0,28,0,877.3
2023,3,-3.274,-9.445,3.374,12.3,8.12,17.9,0,0,26,3,659.5
2023,4,-0.307,-6.01,5.567,19.8,12.88,20.807,0,0,22,2,549.2
2023,5,8.239,1.687,14.674,36.2,4.27,20.129,0,0,18,9,302.6
2023,6,16.593,9.587,23.283,22.2,0.0,18.75,0,0,18,12,68.5
2023,7,17.313,11.823,22.681,146.7,0.0,14.077,0,0,12,3,45.2
2023,8,16.258,10.774,21.884,96.0,0.0,13.584,0,0,18,4,68.6
2023,9,10.54,4.97,16.3,58.3,0.42,15.2,0,0,16,4,228.8
2023,10,3.652,-1.681,9.768,8.5,3.15,13.794,0,0,28,2,444.8
2023,11,-11.133,-15.233,-6.793,15.2,10.5,12.017,1,0,23,0,874.0
2023,12,-18.084,-23.032,-13.077,9.0,6.3,10.394,14,0,26,0,1118.6
2024,1,-17.861,-24.352,-11.358,5.2,3.71,10.5,10,0,27,0,1111.7
2024,2,-18.61,-26.234,-10.91,4.6,3.15,11.807,17,3,27,0,1061.7
