year,district,pop
2021,Сонгинохайрхан,341540
2021,Сүхбаатар,144542
2021,Хан-Уул,209524
2021,Чингэлтэй,150548
2022,Багануур,29341
2022,Багахангай,4416
2022,Баянгол,246886
2022,Баянзүрх,408797
2022,Налайх,39579
2022,Сонгинохайрхан,342112
2022,Сүхбаатар,142444
2022,Хан-Уул,238511
2022,Чингэлтэй,144249
2023,Багануур,28926
2023,Багахангай,4422
2023,Баянгол,252979
2023,Баянзүрх,436822
2023,Налайх,40238
2023,Сонгинохайрхан,341390
2023,Сүхбаатар,141537
2023,Хан-Уул,258187
2023,Чингэлтэй,136280
2024,Багануур,29152
2024,Багахангай,4549
2024,Баянгол,259411
2024,Баянзүрх,450873
2024,Налайх,40674
2024,Сонгинохайрхан,343439
2024,Сүхбаатар,143332
2024,Хан-Уул,273398
2024,Чингэлтэй,133044
2025,Багануур,28949
2025,Багахангай,4249
2025,Баянгол,254710
2025,Баянзүрх,452195
2025,Налайх,40824
2025,Сонгинохайрхан,339203
2025,Сүхбаатар,141023
2025,Хан-Уул,283010
2025,Чингэлтэй,129116
